TimeIndex,Mean,SEM,SmoothedMean,SmoothedSEM
66,36127.3618696177,6331.47296053083,35672.9919246071,5258.85546819265
67,36560.4907731559,5979.36055903201,35670.6786141085,5255.79099893627
68,36833.1622485669,5764.04550481034,35667.8088988326,5252.69616881546
69,36864.0115796559,5766.67819042742,35664.8538792566,5249.64830549275
70,36888.3146135374,5620.10320128734,35661.2944506917,5246.83122190495
71,37006.7857050487,5623.76084643802,35657.6940718917,5244.21440058134
72,37050.7570617245,5792.54900229278,35652.4171382597,5242.41458365872
73,36982.0695120813,5833.71448263724,35647.2803179666,5239.92494309908
74,36480.5243972871,6153.25123123665,35642.0547481117,5237.62965503264
75,36491.1759026775,6236.00322793493,35638.1331139376,5234.79928430911
76,36443.9971170078,6219.00910608322,35632.4018613026,5232.21310684595
77,36739.7685961881,6332.14038031191,35627.017274768,5230.01034386925
78,36708.9902335948,6276.11946930025,35621.4936271168,5227.97045545347
79,36338.6292563012,6470.78618916663,35617.0854995087,5225.47418088036
80,36511.8276983001,6329.42630406911,35612.8229121057,5222.9719401531
81,36434.6325953859,6329.2106933418,35609.0477560126,5219.73809073157
82,36469.7593182932,6103.11916213273,35605.8697711405,5216.49217260914
83,36384.6788984063,6094.29827682785,35602.2276249888,5214.04577554528
84,35935.7785218666,5913.34994396703,35598.0456908983,5213.18416574195
85,36043.160163529,5918.64463141634,35594.5581470229,5211.96215046745
86,36211.9697520493,5874.3667282141,35590.9999970315,5210.70928971523
87,36069.2993020752,6023.77378408984,35587.6364503233,5208.98229893497
88,35573.8077119404,6689.22489174489,35584.639975813,5207.54999113062
89,35509.8475788121,6731.21821493892,35578.5549509803,5207.52279748723
90,35404.046552287,6612.01818702779,35571.2050629599,5208.38163316956
91,35346.9529347002,6495.00170407024,35563.906275908,5208.85696020598
92,35378.9671809951,6463.14967621158,35555.9971987993,5209.53976222265
93,35347.1229604446,6464.31307275278,35546.3101997861,5211.01843617196
94,35371.9265185216,6379.7161357743,35536.7526402525,5212.52940467436
95,35369.2697403958,6328.97185989134,35527.1355039371,5214.0874671764
96,35094.2152042704,6387.17703080284,35517.2308701651,5216.36721313088
