"block","animal_ID","lid_TP1","block_label"
"4","7",0.968,"TEST_101_120"
"4","7",1.015,"TEST_101_120"
"4","7",0.999,"TEST_101_120"
"4","7",0.93,"TEST_101_120"
"4","7",0.977,"TEST_101_120"
"4","7",1.026,"TEST_101_120"
"4","7",1.037,"TEST_101_120"
"4","7",1.037,"TEST_101_120"
"4","7",1.005,"TEST_101_120"
"4","7",1.067,"TEST_101_120"
"5","7",0.987,"TEST_121_140"
"5","7",1.004,"TEST_121_140"
"5","7",1.005,"TEST_121_140"
"5","7",0.999,"TEST_121_140"
"5","7",1.005,"TEST_121_140"
"5","7",1.006,"TEST_121_140"
"5","7",0.98,"TEST_121_140"
"5","7",1.001,"TEST_121_140"
"5","7",0.996,"TEST_121_140"
"5","7",0.994,"TEST_121_140"
"5","7",1.007,"TEST_121_140"
"5","7",0.984,"TEST_121_140"
"5","7",1.001,"TEST_121_140"
"5","7",1,"TEST_121_140"
"5","7",0.996,"TEST_121_140"
"5","7",1,"TEST_121_140"
"5","7",0.98,"TEST_121_140"
"5","7",1.002,"TEST_121_140"
"5","7",1.005,"TEST_121_140"
"6","7",0.999,"TEST_141_160"
"6","7",1,"TEST_141_160"
"6","7",1.003,"TEST_141_160"
"6","7",0.993,"TEST_141_160"
"6","7",1.024,"TEST_141_160"
"6","7",1.03,"TEST_141_160"
"6","7",1.037,"TEST_141_160"
"6","7",1.012,"TEST_141_160"
"6","7",1.008,"TEST_141_160"
"6","7",1,"TEST_141_160"
"6","7",1.016,"TEST_141_160"
"6","7",1.043,"TEST_141_160"
"6","7",0.958,"TEST_141_160"
"6","7",0.962,"TEST_141_160"
"6","7",0.989,"TEST_141_160"
"6","7",1.102,"TEST_141_160"
"6","7",1.034,"TEST_141_160"
"6","7",1.006,"TEST_141_160"
"6","7",1.031,"TEST_141_160"
"1","8",0.98,"PRE"
"1","8",1.033,"PRE"
"1","8",1.017,"PRE"
"1","8",0.876,"PRE"
"1","8",1.058,"PRE"
"1","8",1.034,"PRE"
"1","8",1.025,"PRE"
"1","8",0.913,"PRE"
"1","8",0.988,"PRE"
"1","8",1.046,"PRE"
"1","8",0.993,"PRE"
"1","8",1.044,"PRE"
"1","8",0.974,"PRE"
"1","8",0.85,"PRE"
"1","8",1.218,"PRE"
"1","8",0.977,"PRE"
"1","8",1.098,"PRE"
"1","8",0.989,"PRE"
"1","8",1.071,"PRE"
"1","8",0.973,"PRE"
"1","8",1.117,"PRE"
"1","8",0.959,"PRE"
"1","8",0.951,"PRE"
"1","8",0.97,"PRE"
"1","8",0.927,"PRE"
"1","8",0.97,"PRE"
"1","8",0.896,"PRE"
"1","8",0.968,"PRE"
"1","8",0.965,"PRE"
"3","8",0.991,"TEST_81_100"
"3","8",0.983,"TEST_81_100"
"3","8",1.815,"TEST_81_100"
"3","8",0.984,"TEST_81_100"
"3","8",1.085,"TEST_81_100"
"3","8",0.97,"TEST_81_100"
"3","8",0.965,"TEST_81_100"
"3","8",1.041,"TEST_81_100"
"3","8",1.02,"TEST_81_100"
"3","8",1.182,"TEST_81_100"
"3","8",1.045,"TEST_81_100"
"3","8",0.997,"TEST_81_100"
"3","8",0.985,"TEST_81_100"
"3","8",0.952,"TEST_81_100"
"3","8",0.976,"TEST_81_100"
"3","8",0.758,"TEST_81_100"
"3","8",1.014,"TEST_81_100"
"3","8",0.997,"TEST_81_100"
"3","8",0.977,"TEST_81_100"
